"ensemble_id","steepness","steepness_prior_quantile","tag_mixing_k_cutoff","tag_mixing_source_file","tag_reporting_flag2","tag_reporting","tag_tau","tau_fish_pars4","m_age40_quarterly","lorenzen_log_intercept","m_prior_quantile","effort_creep_primary","effort_creep_secondary","effort_source_file","initialization","pairing_version","zero_mixing_events","tag_reporting_zero_mixing_exclusions","model_label","fixed_rep_groups","fixed_rep_values"
"expA-inc-tau1.2-K0.1","0.878653224858925","NA","0.1","bet.2026.mix-0.1.ini",0,"inclusion","1.2","-1.6094379124341","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | inc | tau=1.2 | K=0.1 | h/M0/creep at ensemble median","",""
"expA-exc-tau1.2-K0.1","0.878653224858925","NA","0.1","bet.2026.mix-0.1.ini",1,"exclusion","1.2","-1.6094379124341","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | exc | tau=1.2 | K=0.1 | h/M0/creep at ensemble median","",""
"expA-inc-tau1.2-K0.3","0.878653224858925","NA","0.3","bet.2026.mix-0.3.ini",0,"inclusion","1.2","-1.6094379124341","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | inc | tau=1.2 | K=0.3 | h/M0/creep at ensemble median","",""
"expA-exc-tau1.2-K0.3","0.878653224858925","NA","0.3","bet.2026.mix-0.3.ini",1,"exclusion","1.2","-1.6094379124341","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | exc | tau=1.2 | K=0.3 | h/M0/creep at ensemble median","",""
"expA-inc-tau1.4-K0.1","0.878653224858925","NA","0.1","bet.2026.mix-0.1.ini",0,"inclusion","1.4","-0.916290731874155","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | inc | tau=1.4 | K=0.1 | h/M0/creep at ensemble median","",""
"expA-exc-tau1.4-K0.1","0.878653224858925","NA","0.1","bet.2026.mix-0.1.ini",1,"exclusion","1.4","-0.916290731874155","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | exc | tau=1.4 | K=0.1 | h/M0/creep at ensemble median","",""
"expA-inc-tau1.4-K0.3","0.878653224858925","NA","0.3","bet.2026.mix-0.3.ini",0,"inclusion","1.4","-0.916290731874155","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | inc | tau=1.4 | K=0.3 | h/M0/creep at ensemble median","",""
"expA-exc-tau1.4-K0.3","0.878653224858925","NA","0.3","bet.2026.mix-0.3.ini",1,"exclusion","1.4","-0.916290731874155","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment A | exc | tau=1.4 | K=0.3 | h/M0/creep at ensemble median","",""
"expB-C-tau1.2-K0.1","0.878653224858925","NA","0.1","bet.2026.mix-0.1.ini",1,"exclusion","1.2","-1.6094379124341","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment B run C | exclude | tau=1.2 | K=0.1 | priored groups fixed at matching include run's fitted X-hat (TBD)","7;10;14;17;18","None;None;None;None;None"
"expB-C-tau1.2-K0.3","0.878653224858925","NA","0.3","bet.2026.mix-0.3.ini",1,"exclusion","1.2","-1.6094379124341","0.0781366271478578","-2.5492963545067044","NA","0.015","0.0075","bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","ad hoc experiment (Experiment A/B/median), not part of the 100-draw ensemble","experiment-v1",0,0,"Experiment B run C | exclude | tau=1.2 | K=0.3 | priored groups fixed at matching include run's fitted X-hat (TBD)","7;10;14;17;18","None;None;None;None;None"
