screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,1,include,group 1,0,0.252617,0.99,0.737383,0,
upper-bound,1,include,group 6,0,0.438898,0.99,0.551102,0,
upper-bound,1,include,group 7,1,0.515778,0.99,0.474222,0,
upper-bound,1,include,group 10,1,0.597987,0.99,0.392013,0,
upper-bound,1,include,group 13,0,0.778421,0.99,0.211579,0,
upper-bound,1,include,group 14,1,0.500816,0.99,0.489184,0,
upper-bound,1,include,group 17,1,0.809648,0.99,0.180352,0,
upper-bound,1,include,group 18,1,0.846064,0.99,0.143936,0,
upper-bound,1,include,group 19,0,0.750367,0.99,0.239633,0,
upper-bound,1,include,group 20,0,0.220376,0.99,0.769624,0,
upper-bound,1,include,group 23,0,0.600773,0.99,0.389227,0,
upper-bound,1,include,group 29,0,0.146474,0.99,0.843526,0,
upper-bound,2,exclude,group 1,0,0.245384,0.99,0.744616,0,
upper-bound,2,exclude,group 6,0,0.674426,0.99,0.315574,0,
upper-bound,2,exclude,group 7,1,0.674622,0.99,0.315378,0,
upper-bound,2,exclude,group 10,1,0.580809,0.99,0.409191,0,
upper-bound,2,exclude,group 13,0,0.542086,0.99,0.447914,0,
upper-bound,2,exclude,group 14,1,0.499431,0.99,0.490569,0,
upper-bound,2,exclude,group 17,1,0.763,0.99,0.227,0,
upper-bound,2,exclude,group 18,1,0.874687,0.99,0.115313,0,
upper-bound,2,exclude,group 19,0,0.99,0.99,1.10345e-08,1,at upper bound
upper-bound,2,exclude,group 20,0,0.189749,0.99,0.800251,0,
upper-bound,2,exclude,group 23,0,0.99,0.99,1.31942e-09,1,at upper bound
upper-bound,2,exclude,group 29,0,0.190608,0.99,0.799392,0,
upper-bound,4,exclude,group 1,0,0.383108,0.99,0.606892,0,
upper-bound,4,exclude,group 6,0,0.857765,0.99,0.132235,0,
upper-bound,4,exclude,group 7,1,0.675445,0.99,0.314555,0,
upper-bound,4,exclude,group 10,1,0.61949,0.99,0.37051,0,
upper-bound,4,exclude,group 13,0,0.781119,0.99,0.208881,0,
upper-bound,4,exclude,group 14,1,0.504028,0.99,0.485972,0,
upper-bound,4,exclude,group 17,1,0.849999,0.99,0.140001,0,
upper-bound,4,exclude,group 18,1,0.966,0.99,0.0240003,0,
upper-bound,4,exclude,group 19,0,0.99,0.99,2.15611e-08,1,at upper bound
upper-bound,4,exclude,group 20,0,0.239109,0.99,0.750891,0,
upper-bound,4,exclude,group 23,0,0.99,0.99,1.85563e-09,1,at upper bound
upper-bound,4,exclude,group 29,0,0.381826,0.99,0.608174,0,
upper-bound,5,include,group 1,0,0.226887,0.99,0.763113,0,
upper-bound,5,include,group 6,0,0.331489,0.99,0.658511,0,
upper-bound,5,include,group 7,1,0.525186,0.99,0.464814,0,
upper-bound,5,include,group 10,1,0.542811,0.99,0.447189,0,
upper-bound,5,include,group 13,0,0.449616,0.99,0.540384,0,
upper-bound,5,include,group 14,1,0.502309,0.99,0.487691,0,
upper-bound,5,include,group 17,1,0.691287,0.99,0.298713,0,
upper-bound,5,include,group 18,1,0.693392,0.99,0.296608,0,
upper-bound,5,include,group 19,0,0.461761,0.99,0.528239,0,
upper-bound,5,include,group 20,0,0.110319,0.99,0.879681,0,
upper-bound,5,include,group 23,0,0.99,0.99,1.53551e-09,1,at upper bound
upper-bound,5,include,group 29,0,0.135538,0.99,0.854462,0,
upper-bound,6,include,group 1,0,0.194508,0.99,0.795492,0,
upper-bound,6,include,group 6,0,0.312385,0.99,0.677615,0,
upper-bound,6,include,group 7,1,0.503843,0.99,0.486157,0,
upper-bound,6,include,group 10,1,0.524219,0.99,0.465781,0,
upper-bound,6,include,group 13,0,0.419508,0.99,0.570492,0,
upper-bound,6,include,group 14,1,0.499868,0.99,0.490132,0,
upper-bound,6,include,group 17,1,0.645623,0.99,0.344377,0,
upper-bound,6,include,group 18,1,0.68304,0.99,0.30696,0,
upper-bound,6,include,group 19,0,0.363559,0.99,0.626441,0,
upper-bound,6,include,group 20,0,0.0828496,0.99,0.90715,0,
upper-bound,6,include,group 23,0,0.99,0.99,2.51572e-09,1,at upper bound
upper-bound,6,include,group 29,0,0.121128,0.99,0.868872,0,
upper-bound,7,include,group 1,0,0.323513,0.99,0.666487,0,
upper-bound,7,include,group 6,0,0.457615,0.99,0.532385,0,
upper-bound,7,include,group 7,1,0.538169,0.99,0.451831,0,
upper-bound,7,include,group 10,1,0.580207,0.99,0.409793,0,
upper-bound,7,include,group 13,0,0.757172,0.99,0.232828,0,
upper-bound,7,include,group 14,1,0.506815,0.99,0.483185,0,
upper-bound,7,include,group 17,1,0.771804,0.99,0.218196,0,
upper-bound,7,include,group 18,1,0.859079,0.99,0.130921,0,
upper-bound,7,include,group 19,0,0.80148,0.99,0.18852,0,
upper-bound,7,include,group 20,0,0.213525,0.99,0.776475,0,
upper-bound,7,include,group 23,0,0.99,0.99,9.98243e-10,1,at upper bound
upper-bound,7,include,group 29,0,0.140298,0.99,0.849702,0,
upper-bound,8,include,group 1,0,0.237535,0.99,0.752465,0,
upper-bound,8,include,group 6,0,0.36211,0.99,0.62789,0,
upper-bound,8,include,group 7,1,0.523489,0.99,0.466511,0,
upper-bound,8,include,group 10,1,0.578421,0.99,0.411579,0,
upper-bound,8,include,group 13,0,0.492142,0.99,0.497858,0,
upper-bound,8,include,group 14,1,0.49768,0.99,0.49232,0,
upper-bound,8,include,group 17,1,0.769701,0.99,0.220299,0,
upper-bound,8,include,group 18,1,0.820906,0.99,0.169094,0,
upper-bound,8,include,group 19,0,0.597882,0.99,0.392118,0,
upper-bound,8,include,group 20,0,0.173821,0.99,0.816179,0,
upper-bound,8,include,group 23,0,0.612468,0.99,0.377532,0,
upper-bound,8,include,group 29,0,0.13452,0.99,0.85548,0,
upper-bound,9,exclude,group 1,0,0.280385,0.99,0.709615,0,
upper-bound,9,exclude,group 6,0,0.722607,0.99,0.267393,0,
upper-bound,9,exclude,group 7,1,0.664442,0.99,0.325558,0,
upper-bound,9,exclude,group 10,1,0.589548,0.99,0.400452,0,
upper-bound,9,exclude,group 13,0,0.590232,0.99,0.399768,0,
upper-bound,9,exclude,group 14,1,0.5023,0.99,0.4877,0,
upper-bound,9,exclude,group 17,1,0.783537,0.99,0.206463,0,
upper-bound,9,exclude,group 18,1,0.906238,0.99,0.0837624,0,
upper-bound,9,exclude,group 19,0,0.713928,0.99,0.276072,0,
upper-bound,9,exclude,group 20,0,0.179041,0.99,0.810959,0,
upper-bound,9,exclude,group 23,0,0.99,0.99,1.45843e-09,1,at upper bound
upper-bound,9,exclude,group 29,0,0.204167,0.99,0.785833,0,
upper-bound,10,exclude,group 1,0,0.381829,0.99,0.608171,0,
upper-bound,10,exclude,group 6,0,0.793113,0.99,0.196887,0,
upper-bound,10,exclude,group 7,1,0.65733,0.99,0.33267,0,
upper-bound,10,exclude,group 10,1,0.576159,0.99,0.413841,0,
upper-bound,10,exclude,group 13,0,0.662247,0.99,0.327753,0,
