group_id,component,n,r_pooled,r_include,r_exclude
7,length_total,80,0.10515009998269342,-0.056133284925604154,0.21013162495476181
7,age_length_total,80,0.1774793373518814,-0.28220545000715663,-0.09200153329192283
7,survey_index_total,80,-0.13768234535306137,-0.021969259557543835,0.09772318941898145
7,catch_total,80,,,
10,length_total,80,0.08896385942233195,-0.11686002696762257,0.15850204518585617
10,age_length_total,80,-0.020491802004808383,-0.2574981013046031,0.04449898536946558
10,survey_index_total,80,-0.17206918726716752,-0.24671086688191315,-0.10094423265036256
10,catch_total,80,,,
14,length_total,80,0.05134921030600363,0.020503711246216267,0.03594985662322555
14,age_length_total,80,-0.2561589582641152,-0.33034371184928457,-0.3112927525747021
14,survey_index_total,80,-0.0324059474678518,0.04978478956381182,-0.024575745781491472
14,catch_total,80,,,
17,length_total,80,0.06371524342533508,-0.16977569250052052,0.1953537696692204
17,age_length_total,80,-0.1510040843535094,-0.334104672116115,-0.06300916287371175
17,survey_index_total,80,-0.06872244208052965,-0.16918302508860197,0.016548843764955922
17,catch_total,80,,,
18,length_total,80,-0.004242644509132483,-0.2809908036909512,0.10480738905795545
18,age_length_total,80,-0.12849736996631653,-0.39480883117732135,-0.13109363608039645
18,survey_index_total,80,-0.08669920901459016,-0.09650090915620446,0.021337651971779864
18,catch_total,80,,,
