member_id,group_id,arm,resid_range,resid_at_lowest_X,resid_range_highX,X_at_max_resid
2,7,exclude,7.642956916242838e-07,0.0,5.377514753490686e-07,0.985
2,7,include,2803.2086952461395,2803.2086952461395,0.19949604784778785,0.3
2,17,exclude,7.647322490811348e-07,0.0,5.377078196033835e-07,0.985
2,17,include,11.634830435577896,11.634830435577896,0.2545027514861431,0.3
10,7,exclude,7.64543074183166e-07,0.0,5.376641638576984e-07,0.985
10,7,include,190673.03944926662,190673.03944926662,0.0389295149652753,0.3
10,17,exclude,7.650523912161589e-07,0.0,5.377078196033835e-07,0.985
10,17,include,1.1923627758951625,1.1923627758951625,0.0479012881842209,0.3
12,7,exclude,7.646012818440795e-07,0.0,5.377951310947537e-07,0.985
12,7,include,19345.442897849018,19345.442897849018,0.17101852133055218,0.3
12,17,exclude,7.649068720638752e-07,0.0,5.377078196033835e-07,0.985
12,17,include,6778.686932052224,6778.686932052224,2.697368808556348,0.3
