include_member,exclude_member,distance,K_include,K_exclude,tau_include,tau_exclude,M0_include,M0_exclude,creep_include,creep_exclude,h_include,h_exclude,f_recent_fmsy_include,f_recent_fmsy_exclude,f_recent_fmsy_diff,sb_recent_sb0_include,sb_recent_sb0_exclude,sb_recent_sb0_diff,sb_recent_sbmsy_include,sb_recent_sbmsy_exclude,sb_recent_sbmsy_diff,sb_recent_kt_include,sb_recent_kt_exclude,sb_recent_kt_diff
1,91,1.5266147475452534,0.1,0.15,1.3,1.2,0.0883028515366027,0.0976896872914599,0.005,0.005,0.916195781737906,0.931251594371582,0.8110300081103,0.594530321046373,-0.21649968706392697,0.261870890365138,0.328442537263527,0.06657164689838901,1.66188491048593,2.23315625,0.57127133951407,324.8985,357.305,32.406499999999994
5,69,1.0022052845014346,0.3,0.35,1.2,1.2,0.0779226059697055,0.0871397706986391,0.015,0.015,0.823450060401092,0.857636386724039,1.29399585921325,0.995024875621891,-0.2989709835913591,0.156842829302016,0.207505623043044,0.050662793741028,0.867646950016442,1.21194515306122,0.344298203044778,263.8514375,273.1724375,9.321000000000026
6,36,0.9532187246804947,0.25,0.2,1.2,1.2,0.0648330299057559,0.0746328291058555,0.005,0.005,0.900847118561344,0.926002224185036,1.43988480921526,0.825763831544178,-0.6141209776710821,0.126475943243433,0.280036342232231,0.153560398988798,0.736775825346113,1.64079314918851,0.904017323842397,276.733,525.710125,248.97712499999994
7,24,1.0182987360449223,0.35,0.3,1.4,1.4,0.0986141793473077,0.0995839962657021,0.005,0.01,0.914621909616371,0.891782015878509,0.722543352601156,0.734214390602056,0.01167103800089997,0.289314270873158,0.279515481144384,-0.00979878972877396,1.85148880255941,1.76971625766871,-0.08177254489070007,303.8293125,288.46375,-15.36556250000001
8,18,0.6908960429482536,0.15,0.2,1.4,1.4,0.0849554955455468,0.0805641581056603,0.01,0.01,0.866396629481641,0.868084063286185,1.01471334348047,1.08189981607703,0.06718647259655985,0.20265407611888,0.189335562787377,-0.013318513331502996,1.19291230226593,1.08562197730655,-0.10729032495937996,279.0221875,291.8151875,12.793000000000006
14,88,1.4598974554676698,0.2,0.2,1.2,1.2,0.0561650364615546,0.07835064832601,0.005,0.005,0.798761897930364,0.837789115487901,0.958772770853308,0.837520938023451,-0.12125183282985708,0.29883343176393,0.28254973687485,-0.01628369488907999,1.43393137573005,1.497491117112,0.06355974138194997,1104.844125,526.817375,-578.0267500000001
22,31,1.1233726006819384,0.15,0.2,1.3,1.3,0.0968057014835817,0.0814891119639018,0.015,0.015,0.781708091051952,0.790834090920188,0.823723228995058,1.0680337498665,0.244310520871442,0.259496770434845,0.189299981656238,-0.070196788778607,1.41233315923863,1.02677261306533,-0.3855605461732998,304.2165625,306.491625,2.27506249999999
25,39,0.8969440015046981,0.25,0.25,1.2,1.2,0.0770791170864455,0.0707338687749501,0.01,0.015,0.938848765182386,0.913060344746047,1.15127791848952,0.922509225092251,-0.22876869339726913,0.179541739676283,0.254152949284521,0.07461120960823797,1.07492692605497,1.4262786351166,0.3513517090616298,277.653625,519.8785625,242.22493750000007
27,21,0.9821274652889221,0.15,0.15,1.4,1.4,0.0889048447406034,0.0959581470388003,0.02,0.025,0.805811118293605,0.839962630725593,0.938967136150235,0.702247191011236,-0.23671994513899897,0.224843829068235,0.297325508976436,0.07248167990820101,1.24648985629755,1.67558666746526,0.42909681116771003,294.9195,349.6949375,54.77543749999995
29,53,1.4003636321770137,0.1,0.15,1.4,1.4,0.0860258459041131,0.066062719171951,0.02,0.02,0.871404880987095,0.894810070821111,0.925925925925926,0.707714083510262,-0.21821184241566405,0.225449884206919,0.381136422874149,0.15568653866723,1.33617026633841,1.92414668300368,0.5879764166652699,298.5004375,1099.265,800.7645625000001
