member_id,arm,K,scheme,psi_release_weighted,psi_mean,n_groups_psi_ge_0p3,release_share_psi_ge_0p3
1,include,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
1,include,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
1,include,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
2,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
2,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
2,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
4,exclude,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
4,exclude,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
4,exclude,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
5,include,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
5,include,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
5,include,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
6,include,0.25,3. tag-seeding prior means (external anchor),0.3160433466598645,0.34787725413904097,45,0.39196547456926306
6,include,0.25,1. exclude-arm fitted rates (as published),0.3116162399154101,0.34258196730537316,46,0.39407215235759174
6,include,0.25,2. include-arm fitted rates,0.3098683956646395,0.3403039297832473,44,0.3875058965005214
7,include,0.35,3. tag-seeding prior means (external anchor),0.22248944505041313,0.26478973099142517,35,0.24786892574010297
7,include,0.35,1. exclude-arm fitted rates (as published),0.2208096355770474,0.2611116190858337,35,0.24786892574010297
7,include,0.35,2. include-arm fitted rates,0.2189422086390475,0.259037685750772,33,0.24130266988303276
8,include,0.15,3. tag-seeding prior means (external anchor),0.5882811682277894,0.6080001201730497,77,0.8420117645107862
8,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
8,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
9,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
9,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
9,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
10,exclude,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
10,exclude,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
10,exclude,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
11,exclude,0.1,3. tag-seeding prior means (external anchor),0.725308349049955,0.6692290552411218,80,0.8971168179610949
11,exclude,0.1,1. exclude-arm fitted rates (as published),0.7140291366969562,0.6593207296268196,80,0.8971168179610949
11,exclude,0.1,2. include-arm fitted rates,0.7109941976132785,0.6557929989292296,79,0.8942593587370298
12,exclude,0.05,3. tag-seeding prior means (external anchor),0.7859567265388392,0.7180618334053582,84,0.9135021393826763
12,exclude,0.05,1. exclude-arm fitted rates (as published),0.7735410153422018,0.7065848853518906,84,0.9135021393826763
12,exclude,0.05,2. include-arm fitted rates,0.7709085699076681,0.7029560201781989,83,0.910644680158611
14,include,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
