member_id,arm,N_mix,reported,used,shortfall,shortfall_frac,scope,group_id,n_members,rep_hat_med,group_label
1.0,include,5982.0,5982.0,4544.425040236243,0.0,0.0,per member,,,,
2.0,exclude,3605.0,3605.0,2772.366632478119,832.6333675218812,0.23096626006154816,per member,,,,
4.0,exclude,4890.0,4890.0,4189.871807021688,700.128192978312,0.14317549958656686,per member,,,,
5.0,include,1854.0,1854.0,1176.2655807099943,0.0,0.0,per member,,,,
6.0,include,2784.0,2784.0,1728.6805879481747,0.0,0.0,per member,,,,
7.0,include,1815.0,1815.0,1317.8429743261602,0.0,0.0,per member,,,,
8.0,include,4890.0,4890.0,3511.5958926828184,0.0,0.0,per member,,,,
9.0,exclude,3605.0,3605.0,2847.6687587980105,757.3312412019897,0.21007801420304845,per member,,,,
10.0,exclude,1854.0,1854.0,1443.1626741965088,410.83732580349124,0.22159510561137608,per member,,,,
11.0,exclude,5982.0,5982.0,4977.659360376131,1004.3406396238692,0.16789378796788185,per member,,,,
12.0,exclude,6543.0,6543.0,5585.723076689232,957.2769233107682,0.1463055056259771,per member,,,,
14.0,include,3605.0,3605.0,2434.030516700041,0.0,0.0,per member,,,,
15.0,exclude,1815.0,1815.0,1199.7064380090662,615.2935619909338,0.33900471735037674,per member,,,,
18.0,exclude,3605.0,3605.0,2719.059651789623,885.940348210377,0.24575321725669266,per member,,,,
19.0,exclude,5982.0,5982.0,5070.978355913377,911.0216440866232,0.1522938221475465,per member,,,,
21.0,exclude,4890.0,4890.0,4060.189059907895,829.8109400921048,0.16969548877139157,per member,,,,
22.0,include,4890.0,4890.0,3878.9163312079304,0.0,0.0,per member,,,,
23.0,exclude,6543.0,6543.0,5642.8271318681245,900.172868131875,0.1375780021598464,per member,,,,
24.0,exclude,1854.0,1854.0,1404.3025786996316,449.6974213003684,0.24255524341983192,per member,,,,
25.0,include,2784.0,2784.0,1876.6012694222413,0.0,0.0,per member,,,,
27.0,include,4890.0,4890.0,3734.2161600675045,0.0,0.0,per member,,,,
29.0,include,5982.0,5982.0,4606.175997713486,0.0,0.0,per member,,,,
30.0,exclude,3605.0,3605.0,3106.4159458139557,498.58405418604445,0.13830348243718293,per member,,,,
31.0,exclude,3605.0,3605.0,2759.06569168777,845.9343083122296,0.2346558414180942,per member,,,,
32.0,include,5982.0,5982.0,4709.603494000469,0.0,0.0,per member,,,,
33.0,include,3605.0,3605.0,2806.970087775184,0.0,0.0,per member,,,,
34.0,include,1815.0,1815.0,1157.054103874135,0.0,0.0,per member,,,,
35.0,include,3605.0,3605.0,2574.939031354654,0.0,0.0,per member,,,,
36.0,exclude,3605.0,3605.0,2788.681639110579,816.3183608894209,0.22644059941454117,per member,,,,
38.0,exclude,2784.0,2784.0,1981.0140106240144,802.9859893759856,0.28842887549424767,per member,,,,
39.0,exclude,2784.0,2784.0,2046.925056080352,737.074943919648,0.2647539310056207,per member,,,,
40.0,include,4890.0,4890.0,3458.582428129241,0.0,0.0,per member,,,,
41.0,exclude,5982.0,5982.0,5035.978087564527,946.0219124354724,0.1581447529982401,per member,,,,
42.0,include,4890.0,4890.0,3466.2478597037325,0.0,0.0,per member,,,,
43.0,include,3605.0,3605.0,2453.631056923603,0.0,0.0,per member,,,,
44.0,include,5982.0,5982.0,4495.214848190518,0.0,0.0,per member,,,,
45.0,include,5982.0,5982.0,4324.017635024845,0.0,0.0,per member,,,,
46.0,include,3605.0,3605.0,3117.299694473955,0.0,0.0,per member,,,,
47.0,exclude,5982.0,5982.0,5001.6484930603565,980.3515069396436,0.16388356852886052,per member,,,,
49.0,include,1854.0,1854.0,1230.533654496885,0.0,0.0,per member,,,,
50.0,exclude,3605.0,3605.0,2835.0414422595354,769.9585577404645,0.21358073723729945,per member,,,,
51.0,exclude,3605.0,3605.0,2726.030663963273,878.9693360367271,0.24381951068979948,per member,,,,
52.0,include,2784.0,2784.0,1858.8289422711011,0.0,0.0,per member,,,,
53.0,exclude,4890.0,4890.0,3949.787638757504,940.2123612424962,0.19227246651175792,per member,,,,
54.0,exclude,4890.0,4890.0,3987.1176815649183,902.882318435082,0.18463851092741962,per member,,,,
55.0,exclude,4890.0,4890.0,4020.910311065914,869.0896889340861,0.17772795274725686,per member,,,,
56.0,exclude,3605.0,3605.0,2961.05957211595,643.9404278840499,0.17862425184023575,per member,,,,
57.0,exclude,3605.0,3605.0,2995.0301203175877,609.9698796824122,0.16920107619484387,per member,,,,
62.0,include,2784.0,2784.0,1841.0792019447258,0.0,0.0,per member,,,,
63.0,include,4890.0,4890.0,3698.3745500470654,0.0,0.0,per member,,,,
65.0,include,3605.0,3605.0,2664.547616397325,0.0,0.0,per member,,,,
66.0,exclude,2784.0,2784.0,2169.339755145685,614.6602448543147,0.22078313392755555,per member,,,,
68.0,exclude,2784.0,2784.0,2150.128155841279,633.871844158721,0.2276838520685061,per member,,,,
69.0,exclude,1815.0,1815.0,1304.566406362591,510.4335936374091,0.2812306301032557,per member,,,,
70.0,exclude,1854.0,1854.0,1309.144010921545,544.855989078455,0.29388133175752695,per member,,,,
71.0,include,2784.0,2784.0,2284.6373046615686,0.0,0.0,per member,,,,
72.0,exclude,3605.0,3605.0,2748.3911414091203,856.6088585908795,0.2376168817173036,per member,,,,
73.0,exclude,3605.0,3605.0,2689.480624246838,915.519375753162,0.25395821796204215,per member,,,,
74.0,include,3605.0,3605.0,3056.713768990458,0.0,0.0,per member,,,,
75.0,exclude,4890.0,4890.0,4018.7657348328203,871.2342651671795,0.17816651639410624,per member,,,,
76.0,exclude,3605.0,3605.0,2876.386655452041,728.6133445479591,0.2021118847567154,per member,,,,
78.0,include,4890.0,4890.0,3594.513126633475,0.0,0.0,per member,,,,
79.0,exclude,3605.0,3605.0,2695.0950161510004,909.9049838489997,0.25240082769736466,per member,,,,
80.0,include,1815.0,1815.0,1295.9768123296221,0.0,0.0,per member,,,,
81.0,exclude,2784.0,2784.0,1983.367487189683,800.6325128103169,0.28758351753244144,per member,,,,
82.0,exclude,2784.0,2784.0,2219.237319458753,564.7626805412468,0.2028601582403904,per member,,,,
84.0,exclude,1854.0,1854.0,1313.2179980378414,540.7820019621586,0.29168392770342966,per member,,,,
85.0,exclude,1854.0,1854.0,1470.6341862298084,383.3658137701915,0.2067776773302004,per member,,,,
86.0,include,5982.0,5982.0,5426.986411282222,0.0,0.0,per member,,,,
87.0,exclude,6543.0,6543.0,5643.257989741168,899.7420102588325,0.13751215195763908,per member,,,,
88.0,exclude,3605.0,3605.0,2819.09853466732,785.90146533268,0.2180031803974147,per member,,,,
89.0,include,1854.0,1854.0,1275.543241968066,0.0,0.0,per member,,,,
90.0,exclude,4890.0,4890.0,3995.3290647876315,894.6709352123681,0.182959291454472,per member,,,,
91.0,exclude,4890.0,4890.0,4117.292282295504,772.707717704496,0.15801793818087853,per member,,,,
92.0,include,6543.0,6543.0,5486.316448822526,0.0,0.0,per member,,,,
93.0,exclude,2784.0,2784.0,1998.913166728798,785.086833271202,0.28199958091638,per member,,,,
94.0,include,4890.0,4890.0,3373.416386693762,0.0,0.0,per member,,,,
95.0,include,6543.0,6543.0,4860.364572804133,0.0,0.0,per member,,,,
98.0,exclude,1854.0,1854.0,1219.4018507864384,634.5981492135614,0.3422859488746286,per member,,,,
99.0,exclude,3605.0,3605.0,2772.2908861143956,832.7091138856043,0.2309872715355352,per member,,,,
,,1210.0,,,284.38552712792267,0.21730006880792252,"per group, exclude arm",17.0,46.0,0.7826999311920775,PTTP/pooled / PS.WEST.3
,,1264.0,,,133.40011864108055,0.09963603556308004,"per group, exclude arm",18.0,46.0,0.9003639644369199,PTTP/pooled / PS.EAST.3
,,162.0,,,121.48937740928312,0.721986819393812,"per group, exclude arm",1.0,46.0,0.27801318060618796,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5
,,320.0,,,107.0247169738808,0.3344522405433775,"per group, exclude arm",7.0,46.0,0.6655477594566225,RTTP / PS.2
,,175.0,,,73.68070640096032,0.4116130028853025,"per group, exclude arm",10.0,46.0,0.5883869971146976,RTTP / PS.WEST.3
,,116.0,,,45.850982914819845,0.3888617851975855,"per group, exclude arm",13.0,46.0,0.6111382148024145,PTTP/pooled / PHID.2/PL.ALL.2
,,18.0,,,14.445866089112833,0.802548116061824,"per group, exclude arm",29.0,46.0,0.197451883938176,JPTP / PS.WEST.3
,,45.0,,,11.429576548327663,0.25399058996283697,"per group, exclude arm",6.0,46.0,0.746009410037163,RTTP / PHID.2/PL.ALL.2
,,285.0,,,2.850000379451842,0.010000001398970504,"per group, exclude arm",23.0,46.0,0.9899999986010295,JPTP / PS.JP.1/PL.JP.1
,,5.0,,,2.4837282688890596,0.497687780756797,"per group, exclude arm",14.0,46.0,0.502312219243203,PTTP/pooled / PS.2
,,5.0,,,0.16000010032948886,0.010000383473422025,"per group, exclude arm",19.0,46.0,0.989999616526578,JPTP / LL.WEST.1
,,0.0,,,0.0,0.7906673416894869,"per group, exclude arm",20.0,46.0,0.209332658310513,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5
