member_id,arm,penalty,h,tau,K,M0,creep,has_par,log_penalty,is_exclude
1,include,94.8193500022,0.916195781737906,1.3,0.1,0.0883028515366027,0.005,True,4.551973502379816,0.0
2,exclude,89.8375121818,0.952715284757023,1.2,0.2,0.0703495861059744,0.005,True,4.498002618392715,1.0
3,include,17.0366032241,0.921008574278809,1.4,0.35,0.0722767943826722,0.02,False,2.835364160221365,0.0
4,exclude,149.431650639,0.929467540089388,1.2,0.15,0.108344057614506,0.025,True,5.006839101927988,1.0
5,include,31.6833921362,0.823450060401092,1.2,0.3,0.0779226059697055,0.015,True,3.4557926362204188,0.0
6,include,19.5672580444,0.900847118561344,1.2,0.25,0.0648330299057559,0.005,True,2.973857661443455,0.0
7,include,79.9029852737,0.914621909616371,1.4,0.35,0.0986141793473077,0.005,True,4.380813214698794,0.0
8,include,72.7268227967,0.866396629481641,1.4,0.15,0.0849554955455468,0.01,True,4.286710268305045,0.0
9,exclude,102.567699492,0.879444249940166,1.3,0.2,0.0895217029940766,0.01,True,4.630523063404442,1.0
10,exclude,112.094275874,0.802381509931566,1.4,0.3,0.106788860563374,0.02,True,4.71934026609819,1.0
11,exclude,134.801663426,0.888738301598888,1.4,0.1,0.0718897340504598,0.01,True,4.9038045383575595,1.0
12,exclude,144.397566724,0.950068051981146,1.4,0.05,0.0691962778307432,0.02,True,4.972570375374919,1.0
14,include,41.4910777456,0.798761897930364,1.2,0.2,0.0561650364615546,0.005,True,3.7254784100401843,0.0
15,exclude,37.5338820871,0.862961384257733,1.4,0.35,0.0711184972794447,0.025,True,3.6252440473684358,1.0
16,include,28.0382787057,0.842086157448238,1.2,0.25,0.0699654018084743,0.02,False,3.3335706731815535,0.0
17,include,53.4474386072,0.962318088723012,1.3,0.15,0.0630976089048196,0.02,False,3.9786987150356086,0.0
18,exclude,78.0506067981,0.868084063286185,1.4,0.2,0.0805641581056603,0.01,True,4.3573574214104,1.0
19,exclude,141.973697472,0.874661383118216,1.3,0.1,0.0668607539465371,0.005,True,4.955641811373815,1.0
21,exclude,127.381302535,0.839962630725593,1.4,0.15,0.0959581470388003,0.025,True,4.847184970475803,1.0
22,include,101.658720435,0.781708091051952,1.3,0.15,0.0968057014835817,0.015,True,4.621621325228939,0.0
23,exclude,153.674697153,0.706251086046443,1.2,0.05,0.0635450800856273,0.025,True,5.03483801209323,1.0
24,exclude,95.4855206887,0.891782015878509,1.4,0.3,0.0995839962657021,0.01,True,4.558974620166713,1.0
25,include,42.7916004366,0.938848765182386,1.2,0.25,0.0770791170864455,0.01,True,3.756341831846601,0.0
27,include,81.9120327212,0.805811118293605,1.4,0.15,0.0889048447406034,0.02,True,4.405645899740158,0.0
29,include,87.7026026418,0.871404880987095,1.4,0.1,0.0860258459041131,0.02,True,4.473951575583176,0.0
30,exclude,155.800184259,0.88720842919169,1.3,0.2,0.120155781738336,0.01,True,5.04857431609962,1.0
31,exclude,84.1280026851,0.790834090920188,1.3,0.2,0.0814891119639018,0.015,True,4.432339480464311,1.0
32,include,97.042322966,0.955582324101094,1.4,0.1,0.0824405378469274,0.015,True,4.575147202580937,0.0
33,include,96.5049211151,0.980467458423588,1.4,0.2,0.0943588956153553,0.025,True,4.569594003056086,0.0
34,include,33.1555450177,0.902357695484583,1.3,0.35,0.07878322006368,0.02,True,3.5012099731625717,0.0
35,include,59.4129083646,0.940898885193137,1.3,0.2,0.0801107614463212,0.01,True,4.084511515295004,0.0
