member_id,arm,reported,recomputed,residual,rel_residual,n_penalised_groups
1,include,94.8193500022,94.8193500022,-2.71427e-12,-2.86257e-14,12
2,exclude,89.8375121818,89.8375121818,-2.74269e-12,-3.05295e-14,12
4,exclude,149.431650639,149.431650639,4.44828e-10,2.9768e-12,12
5,include,31.6833921362,31.6833921362,-1.5774e-11,-4.97865e-13,12
6,include,19.5672580444,19.5672580444,7.28306e-13,3.72207e-14,12
7,include,79.9029852737,79.9029852737,2.69154e-11,3.3685e-13,12
8,include,72.7268227967,72.7268227967,-2.92601e-11,-4.0233e-13,12
9,exclude,102.567699492,102.567699492,-3.71045e-10,-3.61757e-12,12
10,exclude,112.094275874,112.094275874,-4.53824e-10,-4.04859e-12,12
11,exclude,134.801663426,134.801663426,-4.58186e-10,-3.39897e-12,12
12,exclude,144.397566724,144.397566724,1.56689e-10,1.08512e-12,12
14,include,41.4910777456,41.4910777456,2.44427e-12,5.89107e-14,12
15,exclude,37.5338820871,37.5338820871,7.16938e-12,1.91011e-13,12
18,exclude,78.0506067981,78.0506067981,-3.5385e-11,-4.5336e-13,12
19,exclude,141.973697472,141.973697472,1.27812e-10,9.00254e-13,12
21,exclude,127.381302535,127.381302535,3.98046e-11,3.12484e-13,12
22,include,101.658720435,101.658720435,-3.52657e-10,-3.46902e-12,12
23,exclude,153.674697153,153.674697153,3.44897e-10,2.24433e-12,12
24,exclude,95.4855206887,95.4855206887,1.63567e-11,1.713e-13,12
25,include,42.7916004366,42.7916004366,4.52687e-11,1.05789e-12,12
27,include,81.9120327212,81.9120327212,-2.22968e-11,-2.72205e-13,12
29,include,87.7026026418,87.7026026418,2.45279e-11,2.79672e-13,12
30,exclude,155.800184259,155.800184259,4.85841e-10,3.11836e-12,12
31,exclude,84.1280026851,84.1280026851,3.83267e-11,4.55576e-13,12
32,include,97.042322966,97.042322966,4.03446e-11,4.15742e-13,12
33,include,96.5049211151,96.5049211151,2.68869e-11,2.78607e-13,12
34,include,33.1555450177,33.1555450177,2.19558e-12,6.62205e-14,12
35,include,59.4129083646,59.4129083646,4.40181e-11,7.40885e-13,12
36,exclude,92.9155423307,92.9155423307,-1.07434e-11,-1.15626e-13,12
38,exclude,58.4414218479,58.4414218479,-1.48646e-11,-2.5435e-13,12
39,exclude,74.0151407234,74.0151407234,-4.18225e-11,-5.65054e-13,12
40,include,52.8331972036,52.8331972036,6.2812e-12,1.18887e-13,12
41,exclude,136.132583306,136.132583306,1.57797e-10,1.15914e-12,12
42,include,49.4958595832,49.4958595832,4.1311e-11,8.34635e-13,12
43,include,41.4864057296,41.4864057296,-5.08038e-12,-1.22459e-13,12
44,include,87.7025508983,87.7025508983,3.29408e-11,3.75596e-13,12
45,include,63.2230356101,63.2230356101,-5.65592e-12,-8.94598e-14,12
46,include,161.841916258,161.841916258,2.98144e-11,1.84219e-13,12
47,exclude,136.11702106,136.11702106,3.71216e-10,2.72718e-12,12
49,include,46.3684504402,46.3684504402,-1.05587e-11,-2.27712e-13,12
50,exclude,101.536370072,101.536370072,-1.37575e-10,-1.35494e-12,12
51,exclude,80.7959590116,80.7959590116,1.06297e-11,1.31563e-13,12
52,include,38.8409400963,38.8409400963,2.65601e-11,6.83817e-13,12
53,exclude,113.241329507,113.241329507,1.9503e-10,1.72225e-12,12
54,exclude,119.636961245,119.636961245,-2.81091e-10,-2.34953e-12,12
55,exclude,124.172347525,124.172347525,-4.48239e-10,-3.60981e-12,12
56,exclude,123.885124962,123.885124962,-1.35444e-10,-1.0933e-12,12
57,exclude,131.087279801,131.087279801,-4.72028e-10,-3.60087e-12,12
62,include,35.3979776551,35.3979776551,-2.58922e-11,-7.31459e-13,12
63,include,78.3451913491,78.3451913491,3.10507e-11,3.96332e-13,12
65,include,74.5535764966,74.5535764966,-1.07292e-11,-1.43913e-13,12
66,exclude,101.392102972,101.392102972,-1.21361e-11,-1.19694e-13,12
68,exclude,96.0170971544,96.0170971544,-4.18225e-11,-4.35574e-13,12
69,exclude,72.2651487728,72.2651487728,-1.47793e-11,-2.04515e-13,12
70,exclude,43.6556425636,43.6556425636,-1.36779e-11,-3.13315e-13,12
71,include,140.016794988,140.016794988,1.56234e-10,1.11582e-12,12
72,exclude,83.4298025571,83.4298025571,-6.19593e-12,-7.42652e-14,12
73,exclude,73.5318901372,73.5318901372,1.71383e-11,2.33073e-13,12
74,include,148.073518601,148.073518601,3.78094e-10,2.55342e-12,12
75,exclude,127.833271535,127.833271535,3.81704e-11,2.98595e-13,12
76,exclude,106.656510571,106.656510571,-3.40904e-10,-3.19628e-12,12
78,include,67.3197765196,67.3197765196,-4.02594e-11,-5.98032e-13,12
79,exclude,74.52127707,74.52127707,-2.57074e-11,-3.44968e-13,12
80,include,74.1865874875,74.1865874875,2.74554e-11,3.70085e-13,12
81,exclude,61.1515464388,61.1515464388,-2.75833e-11,-4.51064e-13,12
82,exclude,113.439521419,113.439521419,1.76229e-10,1.5535e-12,12
84,exclude,63.5513472755,63.5513472755,2.42935e-11,3.82265e-13,12
85,exclude,120.10148117,120.10148117,2.7309e-10,2.27383e-12,12
86,include,196.441648195,196.441648195,-1.95286e-10,-9.94115e-13,12
87,exclude,156.317514637,156.317514637,-3.5908e-10,-2.29712e-12,12
88,exclude,98.4083242183,98.4083242183,2.71569e-11,2.75962e-13,12
89,include,61.9514781522,61.9514781522,1.86873e-12,3.01644e-14,12
90,exclude,121.174915549,121.174915549,-2.27189e-10,-1.87488e-12,12
91,exclude,139.580903205,139.580903205,3.98302e-10,2.85356e-12,12
92,include,135.486937239,135.486937239,2.56392e-10,1.89238e-12,12
93,exclude,63.1825032329,63.1825032329,2.22755e-11,3.52558e-13,12
94,include,44.2895431723,44.2895431723,2.04281e-11,4.6124e-13,12
95,include,73.3771232123,73.3771232123,-2.79385e-11,-3.80753e-13,12
98,exclude,34.8049116587,34.8049116587,-4.51124e-11,-1.29615e-12,12
99,exclude,88.662867698,88.662867698,3.49303e-11,3.93967e-13,12
