member_id,arm,K,group_id,n_in_window,n_recaptured,psi
1,include,0.1,7,320.0,322.0,0.9937888198757764
1,include,0.1,10,254.0,298.0,0.8523489932885906
1,include,0.1,6,46.0,47.0,0.9787234042553191
1,include,0.1,1,230.0,414.0,0.5555555555555556
1,include,0.1,11,0.0,0.0,
1,include,0.1,2,0.0,0.0,
1,include,0.1,17,2430.0,3467.0,0.7008941447937699
1,include,0.1,18,2214.0,3117.0,0.710298363811357
1,include,0.1,14,5.0,6.0,0.8333333333333334
1,include,0.1,13,122.0,129.0,0.9457364341085271
1,include,0.1,16,0.0,0.0,
1,include,0.1,23,327.0,372.0,0.8790322580645161
1,include,0.1,19,16.0,59.0,0.2711864406779661
1,include,0.1,20,0.0,10.0,0.0
1,include,0.1,29,18.0,18.0,1.0
2,exclude,0.2,7,320.0,322.0,0.9937888198757764
2,exclude,0.2,10,175.0,298.0,0.587248322147651
2,exclude,0.2,6,45.0,47.0,0.9574468085106383
2,exclude,0.2,1,162.0,414.0,0.391304347826087
2,exclude,0.2,11,0.0,0.0,
2,exclude,0.2,2,0.0,0.0,
2,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
2,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
2,exclude,0.2,14,5.0,6.0,0.8333333333333334
2,exclude,0.2,13,116.0,129.0,0.8992248062015504
2,exclude,0.2,16,0.0,0.0,
2,exclude,0.2,23,285.0,372.0,0.7661290322580645
2,exclude,0.2,19,5.0,59.0,0.0847457627118644
2,exclude,0.2,20,0.0,10.0,0.0
2,exclude,0.2,29,18.0,18.0,1.0
4,exclude,0.15,7,320.0,322.0,0.9937888198757764
4,exclude,0.15,10,212.0,298.0,0.7114093959731543
4,exclude,0.15,6,46.0,47.0,0.9787234042553191
4,exclude,0.15,1,189.0,414.0,0.45652173913043476
4,exclude,0.15,11,0.0,0.0,
4,exclude,0.15,2,0.0,0.0,
4,exclude,0.15,17,1944.0,3467.0,0.5607153158350159
4,exclude,0.15,18,1693.0,3117.0,0.5431504651908887
4,exclude,0.15,14,5.0,6.0,0.8333333333333334
4,exclude,0.15,13,120.0,129.0,0.9302325581395349
4,exclude,0.15,16,0.0,0.0,
4,exclude,0.15,23,327.0,372.0,0.8790322580645161
4,exclude,0.15,19,16.0,59.0,0.2711864406779661
4,exclude,0.15,20,0.0,10.0,0.0
4,exclude,0.15,29,18.0,18.0,1.0
5,include,0.3,7,320.0,322.0,0.9937888198757764
5,include,0.3,10,121.0,298.0,0.40604026845637586
5,include,0.3,6,45.0,47.0,0.9574468085106383
5,include,0.3,1,91.0,414.0,0.21980676328502416
5,include,0.3,11,0.0,0.0,
5,include,0.3,2,0.0,0.0,
5,include,0.3,17,458.0,3467.0,0.1321026824343813
5,include,0.3,18,477.0,3117.0,0.1530317613089509
5,include,0.3,14,3.0,6.0,0.5
5,include,0.3,13,114.0,129.0,0.8837209302325582
5,include,0.3,16,0.0,0.0,
5,include,0.3,23,206.0,372.0,0.553763440860215
5,include,0.3,19,1.0,59.0,0.01694915254237288
5,include,0.3,20,0.0,10.0,0.0
5,include,0.3,29,18.0,18.0,1.0
6,include,0.25,7,320.0,322.0,0.9937888198757764
6,include,0.25,10,175.0,298.0,0.587248322147651
6,include,0.25,6,45.0,47.0,0.9574468085106383
6,include,0.25,1,132.0,414.0,0.3188405797101449
6,include,0.25,11,0.0,0.0,
6,include,0.25,2,0.0,0.0,
6,include,0.25,17,758.0,3467.0,0.21863282376694548
6,include,0.25,18,1010.0,3117.0,0.32402951555983317
6,include,0.25,14,4.0,6.0,0.6666666666666666
6,include,0.25,13,115.0,129.0,0.8914728682170543
6,include,0.25,16,0.0,0.0,
6,include,0.25,23,206.0,372.0,0.553763440860215
