group_id,group_label,penalty_wt,is_priored,n_recaptured,psi_median,psi_median_include,psi_median_exclude,abs_dev_med_include,abs_dev_med_exclude,d_abs_dev,d_contribution
1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,1,0,414,0.391304,0.391304,0.391304,0.256847,0.221987,-0.0348605,-0.016722
6,RTTP / PHID.2/PL.ALL.2,1,0,47,0.957447,0.957447,0.957447,0.145906,0.246009,0.100103,0.0392017
7,RTTP / PS.2,354.5,1,322,0.993789,0.993789,0.993789,0.027608,0.169348,0.14174,9.89635
10,RTTP / PS.WEST.3,739.2,1,298,0.587248,0.587248,0.587248,0.0672142,0.076287,0.00907279,0.962814
13,PTTP/pooled / PHID.2/PL.ALL.2,1,0,129,0.899225,0.899225,0.899225,0.224311,0.111138,-0.113172,-0.0380553
14,PTTP/pooled / PS.2,354.5,1,6,0.833333,0.833333,0.833333,0.00538775,0.00611222,0.000724472,0.00294368
17,PTTP/pooled / PS.WEST.3,739.2,1,3467,0.349005,0.349005,0.349005,0.256245,0.2706,0.0143553,5.59104
18,PTTP/pooled / PS.EAST.3,231.2,1,3117,0.405518,0.405518,0.405518,0.286449,0.372164,0.0857153,13.0431
19,JPTP / LL.WEST.1,1,0,59,0.0847458,0.0847458,0.0847458,0.245694,0.49,0.244305,0.179712
20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,1,0,10,0,0,0,0.31591,0.290667,-0.0252422,-0.0153148
23,JPTP / PS.JP.1/PL.JP.1,1,0,372,0.766129,0.766129,0.766129,0.49,0.49,8.12224e-10,7.95979e-10
29,JPTP / PS.WEST.3,1,0,18,1,1,1,0.364493,0.302548,-0.0619452,-0.0413148
