model,response,formula,n,arm_coef,arm_se,ci_lo,ci_hi,p_value,r_squared,subset
arm only,penalty,penalty ~ is_exclude,88,32.4938,7.8343,16.9198,48.0679,7.856e-05,0.1667,all 88 retained models
arm + all axes except M0,penalty,penalty ~ is_exclude + h + tau + K + creep,88,33.9775,6.53143,20.9844,46.9706,1.424e-06,0.454,all 88 retained models
arm + all axes incl M0,penalty,penalty ~ is_exclude + h + tau + K + creep + M0,88,35.5377,3.42722,28.7187,42.3568,1.607e-16,0.8516,all 88 retained models
arm + M0 only,penalty,penalty ~ is_exclude + M0,88,34.2683,6.11491,22.1103,46.4264,2.537e-07,0.499,all 88 retained models
arm only,log(penalty),log_penalty ~ is_exclude,88,0.484548,0.103074,0.279644,0.689453,9.767e-06,0.2044,all 88 retained models
arm + all axes except M0,log(penalty),log_penalty ~ is_exclude + h + tau + K + creep,88,0.506811,0.0842232,0.339265,0.674358,4.755e-08,0.4993,all 88 retained models
arm + all axes incl M0,log(penalty),log_penalty ~ is_exclude + h + tau + K + creep + M0,88,0.526185,0.0483117,0.43006,0.62231,1.552e-17,0.8374,all 88 retained models
"arm + all axes incl M0, discrete axes as factors",penalty,penalty ~ is_exclude + h + C(tau) + C(K) + C(creep) + M0,88,36.4518,3.61841,29.2386,43.6649,2.161e-15,0.8694,all 88 retained models
"arm + all axes incl M0, discrete axes as factors",log(penalty),log_penalty ~ is_exclude + h + C(tau) + C(K) + C(creep) + M0,88,0.525402,0.0512727,0.423192,0.627612,1.042e-15,0.8554,all 88 retained models
arm + all axes incl M0,penalty,penalty ~ is_exclude + h + tau + K + creep + M0,80,34.3339,3.69517,26.9695,41.6984,5.299e-14,0.835,80 members with retained par
raw median difference (no adjustment),penalty,median(exclude) - median(include),88,38.3133,,,,,,all 88 retained models
