group_id,group_label,penalty_wt,target_prop,is_priored,signed_med_include,signed_iqr_include,abs_med_include,abs_iqr_include,contrib_med_include,contrib_iqr_include,rep_med_include,n_include,signed_med_exclude,signed_iqr_exclude,abs_med_exclude,abs_iqr_exclude,contrib_med_exclude,contrib_iqr_exclude,rep_med_exclude,n_exclude,d_abs_median,d_signed_median,d_contrib_median,abs_dev_mwu_p,contrib_share_of_arm_gap
1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,1,0.5,0,-0.256847,0.0615197,0.256847,0.0615197,0.0660021,0.0309039,0.243153,34,-0.221987,0.0696241,0.221987,0.0696241,0.0492801,0.0312825,0.278013,46,-0.0348605,0.0348605,-0.016722,0.02365,-0.0005766
6,RTTP / PHID.2/PL.ALL.2,1,0.5,0,-0.118309,0.0993923,0.145906,0.0809701,0.0213232,0.0216118,0.381691,34,0.246009,0.165495,0.246009,0.165495,0.0605249,0.0857378,0.746009,46,0.100103,0.364319,0.0392017,3.604e-05,0.001352
7,RTTP / PS.2,354.5,0.4962,1,0.027608,0.0109495,0.027608,0.0109495,0.270237,0.193473,0.523808,34,0.169348,0.015406,0.169348,0.015406,10.1666,1.86015,0.665548,46,0.14174,0.14174,9.89635,2.826e-14,0.3413
10,RTTP / PS.WEST.3,739.2,0.5121,1,0.0672142,0.0309644,0.0672142,0.0309644,3.34011,2.88274,0.579314,34,0.076287,0.0349232,0.076287,0.0349232,4.30292,4.21807,0.588387,46,0.00907279,0.00907279,0.962814,0.02818,0.0332
13,PTTP/pooled / PHID.2/PL.ALL.2,1,0.5,0,0.224311,0.330233,0.224311,0.241176,0.0504718,0.083457,0.724311,34,0.111138,0.18062,0.111138,0.175353,0.0124165,0.0469137,0.611138,46,-0.113172,-0.113172,-0.0380553,0.061,-0.001312
14,PTTP/pooled / PS.2,354.5,0.4962,1,0.00538775,0.0048231,0.00538775,0.0048231,0.0103002,0.0175974,0.501588,34,0.00611222,0.00382865,0.00611222,0.00382865,0.0132439,0.018151,0.502312,46,0.000724472,0.000724472,0.00294368,0.07896,0.0001015
17,PTTP/pooled / PS.WEST.3,739.2,0.5121,1,0.256245,0.0814291,0.256245,0.0814291,48.5369,29.8128,0.768345,34,0.2706,0.0803111,0.2706,0.0803111,54.1279,32.5074,0.7827,46,0.0143553,0.0143553,5.59104,0.1457,0.1928
18,PTTP/pooled / PS.EAST.3,231.2,0.5282,1,0.286449,0.0994069,0.286449,0.0994069,18.9797,12.5224,0.814649,34,0.372164,0.0728221,0.372164,0.0728221,32.0228,12.3594,0.900364,46,0.0857153,0.0857153,13.0431,5.257e-05,0.4498
19,JPTP / LL.WEST.1,1,0.5,0,0.245694,0.401772,0.245694,0.385302,0.0603875,0.228999,0.745694,34,0.49,0.255857,0.49,0.255857,0.2401,0.184051,0.99,46,0.244305,0.244305,0.179712,0.01688,0.006197
20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,1,0.5,0,-0.31591,0.0944472,0.31591,0.0944472,0.0998028,0.0579151,0.18409,34,-0.290667,0.097509,0.290667,0.097509,0.084488,0.0553013,0.209333,46,-0.0252422,0.0252422,-0.0153148,0.1403,-0.0005281
23,JPTP / PS.JP.1/PL.JP.1,1,0.5,0,0.49,1.55002e-09,0.49,1.55002e-09,0.2401,1.51902e-09,0.99,34,0.49,3.53029e-10,0.49,3.53029e-10,0.2401,3.45968e-10,0.99,46,8.12224e-10,8.12224e-10,7.95979e-10,4.668e-06,2.745e-11
29,JPTP / PS.WEST.3,1,0.5,0,-0.364493,0.0101597,0.364493,0.0101597,0.132855,0.00738584,0.135507,34,-0.302548,0.147042,0.302548,0.147042,0.0915405,0.0754864,0.197452,46,-0.0619452,0.0619452,-0.0413148,2.593e-10,-0.001425
